ITIS_TSN,ITIS_RANK,DEP_LABORATORY_ID,DEP_ASSESSMENT_ID,DEP_LAB_ID_TV,DEP_ASSESS_ID_TV,DEP_LAB_ID_FFG,DEP_ASSESS_ID_FFG,DEP_LAB_ID_BCG_WARM,DEP_ASSESS_ID_BCG_WARM,DEP_LAB_ID_BCG_COLD,DEP_ASSESS_ID_BCG_COLD,DEP_LAB_ID_ETV,DEP_ASSESS_ID_ETV,DEP_LAB_ID_ATV,DEP_ASSESS_ID_ATV,DEP_BUG_CODE,ITIS_PHYLUM,ITIS_CLASS,ITIS_SUBCLASS,ITIS_SUPERORDER,ITIS_ORDER,ITIS_FAMILY,ITIS_GENUS
68423,Family,Aeolosomatidae,Polychaeta,10,10,FC,FC,,,,,,,,,12020000000,Annelida,,,,,Aeolosomatidae,
568832,Class,Clitellata,Clitellata,10,10,CG,CG,5,5,5,5,8,8,5,5,11000000001,Annelida,Clitellata,,,,,
68510,Family,Enchytraeidae,Clitellata,10,10,CG,CG,5,5,5,5,,8,,5,11010300000,Annelida,Clitellata,,,,Enchytraeidae,
69165,Family,Lumbricidae,Clitellata,8,10,CG,CG,5,5,5,5,,8,,5,11010200000,Annelida,Clitellata,,Metagynophora,Opisthopora,Lumbricidae,
1048704,Subclass,Lumbriculata,Lumbriculata,8,8,PR,PR,5,5,5,5,,,,,10000000001,Annelida,Clitellata,Lumbriculata,,,,
69168,Order,Branchiobdellida,Clitellata,6,10,CG,CG,4,4,4,5,,8,,5,11040000000,Annelida,Clitellata,Lumbriculata,,Branchiobdellida,,
69169,Family,Branchiobdellidae,Clitellata,6,10,CG,CG,4,4,4,5,,8,,5,11040000100,Annelida,Clitellata,Lumbriculata,,Branchiobdellida,Branchiobdellidae,
568835,Suborder,Arhynchobdellida,Lumbriculata,,8,PR,PR,,,,5,,,,,10010000100,Annelida,Clitellata,Lumbriculata,,Hirudinida,,
69295,Suborder,Rhynchobdellida,Lumbriculata,,8,PR,PR,,,,5,,,,,10020000000,Annelida,Clitellata,Lumbriculata,,Hirudinida,,
69438,Family,Erpobdellidae,Lumbriculata,,8,PR,PR,5,5,5,5,,,,,10010300000,Annelida,Clitellata,Lumbriculata,,Hirudinida,Erpobdellidae,
69444,Genus,Erpobdella,Lumbriculata,8,8,PR,PR,5,5,5,5,,,,,10010300100,Annelida,Clitellata,Lumbriculata,,Hirudinida,Erpobdellidae,Erpobdella
69449,Genus,Mooreobdella,Lumbriculata,8,8,PR,PR,5,5,5,5,,,,,10010300200,Annelida,Clitellata,Lumbriculata,,Hirudinida,Erpobdellidae,Mooreobdella
69455,Genus,Nephelopsis,Lumbriculata,,8,PR,PR,,,,5,,,,,10010300300,Annelida,Clitellata,Lumbriculata,,Hirudinida,Erpobdellidae,Nephelopsis
69357,Family,Glossiphoniidae,Lumbriculata,,8,PR,PR,5,5,5,5,,,,,10020100000,Annelida,Clitellata,Lumbriculata,,Hirudinida,Glossiphoniidae,
69384,Genus,Actinobdella,Lumbriculata,,8,PR,PR,5,5,5,5,,,,,10020100100,Annelida,Clitellata,Lumbriculata,,Hirudinida,Glossiphoniidae,Actinobdella
69388,Genus,Alboglossiphonia,Lumbriculata,,8,PR,PR,5,5,5,5,,,,,10020100200,Annelida,Clitellata,Lumbriculata,,Hirudinida,Glossiphoniidae,Alboglossiphonia
