Stream,Site,IBI_Score,Lat,Long,Location
Apalachin Creek,Apal,63.08,42.063124,-76.15029,N
Babb Creek,BABB 13.4,74.85,41.65467752,-77.19516288,W
Baker Run,BAKR0.1,89.93,41.24694444,-77.60666667,W
Baldwin Creek,Baldwin,64.1,42.04209,-76.72019,N
Baldwin Run,Bald Tioga,81.99,41.795924,-77.305315,W
Blockhouse Creek,BLOC,79.6,41.47393,-77.23044,W
Bobs Creek,BOBS,81.18,40.263878,-78.592581,S
Bowman Creek,BOWN,92.4,41.427247,-76.027558,E
Butternut Creek,BNUT,84.33,42.42092,-75.36012,N
Cherry Valley Creek,Cherry,47.76,42.706392,-74.799213,N
Chiques Creek,CHIQ 11.3,42.45,40.108639,-76.444319,S
Conodoguinet Creek,CONO 35.1,44.67,40.237916,-77.193454,S
Deer Creek,DEER 25.0,77.3,39.638099,-76.419621,S
Driftwood Branch Sinnemahoning Creek,Driftwood,97.08,41.526489,-78.270075,W
East Branch Fishing Creek,EBFC,65.3,41.322608,-76.34434,E
East Branch Octoraro Creek,EBOT 5.4,50.75,39.846583,-76.02025,S
East Branch Wyalusing Creek,EBWC 0.1,69.6,41.788321,-76.071108,E
East Fork First Fork Sinnemahoning Creek,East Fork,84.3,41.574667,-77.912439,W
Hammer Creek,HAMR,49.7,40.247222,-76.3347222,S
Hicks Run,Hicks,78.4,41.362347,-78.253481,W
Kishacoquillas Creek,KISH 14.1,27.1,40.60506,-77.69963,S
Kitchen Creek,Kitchen,83.56,41.233657,-76.242822,E
Larrys Creek,LARR,78.2,41.327391,-77.189426,E
Lebo Creek,LEBO 0.1,78.74,41.463979,-77.630419,W
Lititz Run,Litz,23.5,40.134194,-76.258539,S
Little Bear Creek,Little Bear,82.83,41.36088,-76.86674,E
Little Chiques Creek,LCHQ 7.6,46.59,40.117867,-76.502378,S
Little Mehoopany Creek,LMEHOOP,52,41.58154,-76.0698,E
Loyalsock Creek,LYSK 5.0,78.3,41.45879746,-76.33103915,E
Marsh Creek,MARS,65,41.060222,-77.609967,W
Meshoppen Creek,MESH,75.5,41.61164,-75.984739,E
Mill Creek,Mill - Loyal,82.46,41.46977,-76.73996,E
Moose Creek,Moose,81.4,41.045642,-78.461575,W
Pine Creek,PINE,83.26,41.790365,-77.76152,W
Pleasant Stream,PLES,87.7,41.49236,-76.91962,E
Portage Creek,Portage,81.6,41.511692,-78.220289,W
Quittapahilla Creek,QUIT 3.1,32.1,40.3398,-76.57813,S
Sangerfield River,Sangerfield,82.1,42.77596,-75.502199,N
Sing Sing Creek,SING 0.9,53.72,42.10277778,-76.92222222,N
Snake Creek,SNAK,71.4,41.92994,-75.84137,E
South Branch Codorus Creek,SBCD 3.4,47.4,39.897222,-76.7447222,S
South Branch Conewago Creek,SBCC 20.4,54.76,39.725555,-76.948611,S
South Branch Tunkhannock Creek,SBTK,51.15,41.557825,-75.777879,E
Sugar Run,Sugar Run,77.8,41.626436,-76.274356,E
Tioga River,TIOG,86.8,41.709307,-76.914157,E
Trout Run,TROT,81.2,41.073591,-78.361176,W
Tuscarora Creek,Tuscarora,58.8,42.075196,-77.379177,N
West Branch Octoraro Creek,WBOT 3.3,51.54,39.824611,-76.089975,S
West Creek,WEST 2.0,94.4,41.494441,-78.274839,W
Yellow Breeches Creek,YLBR 12.8,36.2,40.171866,-76.912478,S
